gender,age,no_of_days_subscribed,multi_screen,mail_subscribed,weekly_mins_watched,minimum_daily_mins,maximum_daily_mins,weekly_max_night_mins,videos_watched,maximum_days_inactive,customer_support_calls,churn
0,36.0,62,0,0,148.35,12.2,16.81,82.0,1.0,4.0,1.0,0
0,39.0,149,0,0,294.45,7.7,33.37,87.0,3.0,3.0,2.0,0
0,59.5,126,0,0,87.3,11.9,9.89,91.0,1.0,4.0,3.5,0
0,24.0,131,0,1,321.3,9.5,36.41,102.0,4.0,3.0,3.0,0
0,40.0,191,0,0,243.0,10.9,27.54,83.0,7.0,3.0,1.0,0
1,59.5,205,0,1,263.7,7.8,29.89,64.0,5.0,3.0,2.0,0
1,31.0,63,0,0,316.8,12.3,35.9,58.0,2.0,4.0,0.0,0
1,34.0,114,0,1,338.7,8.4,38.39,100.0,9.0,3.0,3.5,0
1,34.0,107,0,0,201.0,7.3,22.78,79.0,3.0,2.0,3.0,0
0,30.0,84,0,0,112.95,12.3,12.8,134.0,1.0,4.0,1.0,0
0,23.0,142,0,0,218.1,10.9,24.72,96.0,1.0,3.0,1.0,0
0,21.0,137,0,0,313.2,11.1,35.5,130.0,5.0,3.0,0.0,0
1,30.0,100,0,1,328.05,12.1,37.18,117.0,4.0,4.0,1.0,0
1,44.0,84,0,0,239.25,7.2,27.12,82.0,4.0,2.0,2.0,0
0,45.0,99,0,0,300.0,11.4,34.0,82.0,2.0,4.0,3.0,0
1,39.0,115,0,0,367.5,13.7,41.65,124.0,8.0,4.0,1.0,0
0,59.0,194,0,0,72.6,17.4,8.23,87.0,1.0,5.0,1.0,0
0,45.0,76,0,0,395.1,11.4,44.78,101.0,5.0,4.0,1.0,0
1,32.0,94,0,0,206.25,13.4,23.38,131.0,2.0,4.0,0.0,0
0,36.0,81,0,1,251.85,9.2,28.54,103.0,6.0,3.0,3.5,0
1,50.0,137,0,0,363.15,14.7,41.16,50.0,2.0,4.0,3.0,0
1,28.0,119,1,1,240.0,8.7,27.2,107.0,5.0,3.0,3.5,0
1,37.0,138,0,1,275.85,15.0,31.26,125.0,3.0,5.0,1.0,0
0,44.0,124,0,0,197.7,11.3,22.41,101.0,2.0,4.0,1.0,0
1,45.0,161,0,0,482.11875,5.4,54.6375,128.0,9.0,2.0,3.5,0
1,33.0,89,0,0,123.45,7.2,13.99,70.0,4.0,2.0,1.0,0
0,34.0,105,1,1,234.15,14.7,26.54,95.0,3.0,4.0,0.0,0
0,32.0,59,0,0,273.75,11.3,31.03,100.0,8.0,4.0,3.5,0
0,32.0,81,0,0,218.1,5.2,24.72,109.0,4.0,2.0,1.0,0
1,35.0,67,0,0,228.75,4.9,25.93,104.0,3.0,2.0,2.0,0
1,52.0,129,0,0,324.0,4.9,36.72,109.0,10.0,2.0,2.0,0
1,30.0,62,0,0,220.65,12.2,25.01,115.0,3.0,4.0,0.0,0
1,55.0,95,0,1,391.2,10.1,44.34,97.0,5.0,3.0,1.0,0
0,44.0,76,0,0,336.6,6.7,38.15,74.0,2.0,2.0,2.0,0
0,31.0,37,0,0,286.65,12.9,32.49,117.0,1.0,4.0,0.0,0
0,41.0,80,0,0,482.11875,6.7,54.6375,123.0,8.0,2.0,0.0,0
0,43.0,190,0,0,254.1,8.9,28.8,93.0,5.0,3.0,1.0,0
0,45.0,168,0,1,146.1,11.4,16.56,124.0,2.0,4.0,2.0,0
0,39.0,166,1,1,192.3,8.8,21.79,130.0,7.0,3.0,2.0,0
0,38.0,42,0,0,361.8,10.6,41.0,91.0,4.0,3.0,0.0,0
1,43.0,96,0,0,390.6,11.5,44.27,87.0,4.0,4.0,3.5,0
0,26.0,76,1,0,409.95,12.0,46.46,84.0,7.0,4.0,1.0,0
1,29.0,94,0,0,285.9,7.5,32.4,97.0,5.0,3.0,1.0,0
1,45.0,76,0,1,284.55,10.0,32.25,108.0,5.0,3.0,1.0,0
0,26.0,77,0,0,244.5,6.7,27.71,66.0,3.0,2.0,2.0,0
1,36.0,54,0,1,168.0,11.3,19.04,83.0,4.0,4.0,2.0,0
1,31.0,41,0,0,238.95,11.1,27.08,76.0,5.0,3.0,1.0,0
1,30.0,53,0,1,218.55,13.1,24.77,96.0,5.0,4.0,3.0,0
1,34.0,131,0,0,230.1,10.4,26.08,83.0,3.0,3.0,0.0,0
1,52.0,98,0,1,181.5,12.0,20.57,110.0,1.0,4.0,1.0,0
0,41.0,90,0,1,275.7,7.7,31.25,124.0,3.0,3.0,1.0,0
1,27.0,146,1,0,240.15,9.2,27.22,98.0,3.0,3.0,2.0,0
1,36.0,51,1,0,230.4,14.1,26.11,92.0,4.0,4.0,0.0,0
0,56.0,100,0,1,265.65,7.4,30.11,72.0,2.0,2.0,0.0,0
1,40.0,126,0,0,183.6,11.5,20.81,106.0,3.0,4.0,1.0,0
1,49.0,97,0,1,181.65,8.3,20.59,100.0,5.0,3.0,3.0,0
0,33.0,74,0,1,290.55,14.6,32.93,92.0,3.0,4.0,2.0,0
0,47.0,86,0,1,184.5,13.3,20.91,103.0,4.0,4.0,1.0,0
1,26.0,95,0,1,61.35,11.9,6.95,91.0,7.0,4.0,0.0,0
0,43.0,75,1,0,250.05,10.1,28.34,121.0,3.0,3.0,3.0,0
0,34.0,27,0,0,109.05,9.9,12.36,71.0,3.0,3.0,1.0,0
1,42.0,65,0,0,281.85,7.5,31.94,86.0,6.0,3.0,1.0,0
1,59.5,163,0,0,371.55,9.6,42.11,82.0,7.0,3.0,0.0,0
0,37.0,44,0,0,214.8,7.6,24.34,77.0,4.0,3.0,1.0,0
0,46.0,166,0,0,411.45,10.9,46.63,119.0,5.0,3.0,0.0,0
1,31.0,92,0,0,209.7,9.4,23.77,135.0,7.0,3.0,2.0,0
0,49.0,84,0,0,254.25,10.6,28.82,70.0,7.0,3.0,0.0,0
1,32.0,45,0,0,239.7,10.6,27.17,93.0,3.0,3.0,2.0,0
0,43.0,140,0,0,187.95,8.4,21.3,94.0,4.0,3.0,1.0,0
1,33.0,122,0,0,161.85,9.5,18.34,119.0,3.0,3.0,2.0,0
0,39.0,50,0,1,454.05,13.6,51.46,103.0,10.5,4.0,3.0,0
0,27.0,132,0,0,289.95,11.6,32.86,119.0,4.0,4.0,3.5,0
0,46.0,119,0,1,325.65,8.0,36.91,93.0,5.0,3.0,2.0,0
0,36.0,134,0,0,363.6,11.8,41.21,115.0,6.0,4.0,1.0,0
0,52.0,89,0,0,211.65,10.8,23.99,73.0,2.0,3.0,2.0,0
1,41.0,109,0,0,397.05,9.5,45.0,86.0,9.0,3.0,1.0,0
1,59.5,21,0,1,199.05,12.9,22.56,78.0,7.0,4.0,3.0,0
0,35.0,167,0,0,249.6,9.9,28.29,95.0,5.0,3.0,1.0,0
0,52.0,75,0,1,176.25,4.2,19.98,114.0,7.0,2.0,3.0,0
1,43.0,86,0,0,186.15,6.7,21.1,119.0,8.0,2.0,3.0,0
0,41.0,35,0,1,362.55,9.4,41.09,68.0,4.0,3.0,1.0,0
1,31.0,177,0,0,349.2,12.5,39.58,77.0,7.0,4.0,2.0,0
1,37.0,122,0,0,348.75,11.9,39.53,91.0,2.0,4.0,0.0,0
1,31.0,118,0,0,210.6,7.9,23.87,154.5,1.0,3.0,0.0,0
1,34.0,87,1,1,332.4,11.5,37.67,124.0,3.0,4.0,1.0,0
1,44.0,95,0,1,194.25,11.9,22.02,115.0,3.0,4.0,1.0,0
1,35.0,103,1,0,94.2,9.4,10.68,78.0,4.0,3.0,3.0,0
1,46.0,135,0,0,370.2,12.6,41.96,109.0,5.0,4.0,1.0,0
0,34.0,144,0,0,301.65,13.2,34.19,119.0,2.0,4.0,1.0,0
0,32.0,148,0,1,379.35,12.3,42.99,99.0,1.0,4.0,1.0,0
1,28.0,70,0,0,189.45,9.6,21.47,96.0,2.0,3.0,0.0,0
1,48.0,149,0,0,249.9,8.2,28.32,131.0,6.0,3.0,3.5,0
0,33.0,54,1,0,285.75,9.7,32.39,111.0,2.0,3.0,2.0,0
1,46.0,83,0,0,303.45,6.8,34.39,82.0,4.0,2.0,0.0,0
1,43.0,30,0,0,341.1,12.5,38.66,134.0,3.0,4.0,0.0,0
1,36.0,56,0,0,243.45,14.8,27.59,115.0,1.0,4.0,3.5,0
1,24.0,93,0,0,286.05,8.1,32.42,121.0,3.0,3.0,3.0,0
1,48.0,72,0,0,263.25,11.8,29.84,96.0,3.0,4.0,1.0,0
1,34.0,91,0,1,409.5,9.6,46.41,114.0,2.0,3.0,1.0,0
1,37.0,110,1,0,439.95,14.5,49.86,91.0,4.0,4.0,0.0,0
1,48.0,137,0,0,165.75,10.5,18.79,64.0,3.0,3.0,3.0,0
0,34.0,149,0,0,363.75,10.0,41.23,80.0,3.0,3.0,3.0,0
0,38.0,55,0,1,195.75,11.0,22.19,114.0,5.0,3.0,3.5,0
0,40.0,72,1,1,209.7,5.5,23.77,88.0,6.0,2.0,0.0,0
0,37.0,128,0,0,324.0,12.7,36.72,74.0,4.0,4.0,1.0,0
1,38.0,132,0,0,121.65,10.3,13.79,115.0,2.0,3.0,0.0,0
0,32.0,146,0,0,223.95,7.9,25.38,100.0,4.0,3.0,3.5,0
0,39.0,134,0,1,325.2,8.6,36.86,83.0,2.0,3.0,0.0,0
0,40.0,99,0,0,94.35,8.5,10.69,121.0,5.0,3.0,1.0,0
1,39.0,107,0,0,291.75,12.7,33.07,106.0,1.0,4.0,2.0,0
0,37.0,38,0,1,295.8,3.9,33.52,104.0,2.0,2.0,0.0,0
1,28.0,64,0,0,252.0,10.1,28.56,98.0,3.0,3.0,2.0,0
1,44.0,172,0,1,412.35,8.8,46.73,123.0,2.0,3.0,1.0,0
0,36.0,80,1,0,283.65,13.9,32.15,116.0,3.0,4.0,2.0,0
0,40.0,86,0,1,338.25,9.8,38.34,81.0,2.0,3.0,0.0,0
1,46.0,82,0,0,283.8,10.6,32.16,83.0,5.0,3.0,3.0,0
1,39.0,137,1,0,202.65,12.3,22.97,81.0,2.0,4.0,2.0,0
1,31.0,92,0,0,374.1,9.1,42.4,116.0,3.0,3.0,0.0,0
0,36.0,161,1,0,284.4,3.000000000000001,32.23,137.0,6.0,1.5,1.0,0
0,50.0,39,0,1,212.55,12.0,24.09,131.0,5.0,4.0,1.0,0
1,34.0,108,0,0,297.75,9.4,33.75,75.0,3.0,3.0,0.0,0
0,38.0,66,0,1,344.1,8.0,39.0,119.0,1.0,3.0,2.0,0
0,32.0,94,0,0,261.0,7.9,29.58,94.0,1.0,3.0,1.0,0
1,36.0,92,1,0,396.45,9.3,44.93,73.0,5.0,3.0,0.0,0
1,30.0,110,0,1,354.45,9.7,40.17,82.0,6.0,3.0,1.0,0
0,45.0,94,1,1,295.65,9.5,33.51,103.0,5.0,3.0,3.5,0
1,57.0,65,0,1,423.45,12.0,47.99,93.0,4.0,4.0,1.0,0
0,33.0,162,0,1,269.55,9.3,30.55,105.0,8.0,3.0,1.0,0
0,33.0,10,0,0,279.15,11.4,31.64,57.0,6.0,4.0,2.0,0
0,37.0,128,0,0,154.95,6.4,17.56,95.0,7.0,2.0,0.0,0
1,33.0,156,1,0,415.5,8.3,47.09,96.0,3.0,3.0,1.0,0
1,30.0,100,0,1,323.85,11.6,36.7,154.5,4.0,4.0,1.0,0
1,35.0,63,0,0,124.5,13.0,14.11,89.0,3.0,4.0,0.0,0
0,40.0,119,0,1,241.95,6.6,27.42,92.0,8.0,2.0,1.0,0
0,33.0,107,1,0,291.6,11.2,33.05,93.0,7.0,4.0,2.0,0
1,36.0,111,0,0,259.2,7.9,29.38,104.0,3.0,3.0,3.5,0
0,59.5,53,0,0,307.65,10.7,34.87,142.0,2.0,3.0,3.0,0
0,22.0,98,0,1,96.9,3.000000000000001,10.98,84.0,0.0,1.5,2.0,0
0,31.0,67,0,0,257.55,11.9,29.19,111.0,4.0,4.0,2.0,0
1,30.0,112,0,0,255.75,11.2,28.99,91.0,6.0,4.0,0.0,0
0,24.0,94,0,0,272.7,9.2,30.91,97.0,2.0,3.0,3.5,0
0,31.0,127,0,0,209.4,8.8,23.73,88.0,4.0,3.0,2.0,0
1,39.0,161,0,0,109.2,11.8,12.38,91.0,2.0,4.0,2.0,0
1,43.0,70,0,0,202.05,7.6,22.9,113.0,6.0,3.0,3.0,0
0,33.0,61,0,1,433.05,8.6,49.08,49.0,3.0,3.0,0.0,0
0,40.0,158,0,0,263.85,11.0,29.9,98.0,6.0,3.0,1.0,0
0,48.0,108,0,0,154.5,7.9,17.51,89.0,3.0,3.0,1.0,0
1,44.0,92,0,1,212.4,10.2,24.07,95.0,10.5,3.0,0.0,0
0,44.0,118,0,1,384.45,11.7,43.57,130.0,1.0,4.0,1.0,0
1,28.0,106,0,1,122.4,9.9,13.87,113.0,4.0,3.0,1.0,0
1,26.0,192,0,0,332.4,12.7,37.67,83.0,6.0,4.0,3.5,0
1,49.0,38,0,0,206.7,14.1,23.43,77.0,3.0,4.0,2.0,0
1,27.0,136,0,0,378.6,10.7,42.91,110.0,3.0,3.0,2.0,0
0,29.0,103,0,0,225.9,10.4,25.6,104.0,8.0,3.0,3.5,0
0,39.0,116,0,1,300.6,8.3,34.07,100.0,4.0,3.0,1.0,0
1,34.0,49,0,1,321.6,8.0,36.45,107.0,10.5,3.0,3.0,0
0,26.0,118,0,0,281.1,12.2,31.86,97.0,6.0,4.0,1.0,0
0,36.0,40,0,1,222.15,6.2,25.18,102.0,5.0,2.0,2.0,0
0,37.0,130,0,0,180.75,14.3,20.49,107.0,2.0,4.0,1.0,0
1,41.0,37,0,0,299.25,8.1,33.92,123.0,4.0,3.0,2.0,0
0,28.0,112,1,0,242.85,10.7,27.52,134.0,4.0,3.0,1.0,0
1,35.0,125,0,0,190.05,14.4,21.54,112.0,7.0,4.0,2.0,0
0,43.0,9,0,1,290.7,13.3,32.95,102.0,2.0,4.0,1.0,0
1,40.0,72,0,1,139.2,5.8,15.78,83.0,7.0,2.0,1.0,0
0,29.0,103,0,0,260.25,9.7,29.5,66.0,2.0,3.0,3.0,0
0,42.0,57,0,0,223.95,11.9,25.38,101.0,3.0,4.0,2.0,0
1,43.0,140,0,0,243.9,8.2,27.64,66.0,2.0,3.0,1.0,0
0,47.0,88,0,1,272.4,11.4,30.87,104.0,4.0,4.0,1.0,0
0,50.0,142,0,1,330.75,5.9,37.49,109.0,9.0,2.0,2.0,0
0,38.0,45,0,1,295.2,7.7,33.46,85.0,2.0,3.0,1.0,0
1,32.0,92,0,0,302.85,13.7,34.32,80.0,6.0,4.0,3.0,0
1,31.0,88,0,0,92.85,8.8,10.52,110.0,2.0,3.0,3.0,0
0,37.0,57,1,1,351.75,11.4,39.87,94.0,4.0,4.0,2.0,0
1,45.0,67,0,1,157.35,9.6,17.83,128.0,9.0,3.0,1.0,0
1,51.0,58,0,1,360.6,11.2,40.87,108.0,3.0,4.0,1.0,0
1,37.0,101,0,0,314.4,7.6,35.63,85.0,2.0,3.0,3.0,0
1,38.0,130,0,0,316.8,6.3,35.9,80.0,9.0,2.0,2.0,0
0,35.0,179,0,0,430.95,10.5,48.84,112.0,4.0,3.0,0.0,0
1,34.0,98,0,1,272.4,12.9,30.87,121.0,4.0,4.0,2.0,0
1,32.0,37,0,1,397.05,10.4,45.0,102.0,7.0,3.0,0.0,0
1,45.0,72,0,1,330.0,14.7,37.4,71.0,6.0,4.0,3.0,0
1,34.0,137,0,0,172.5,7.3,19.55,61.0,4.0,2.0,3.0,0
1,25.0,127,0,1,123.3,5.1,13.97,104.0,6.0,2.0,0.0,0
0,28.0,72,0,0,326.7,10.4,37.03,91.0,5.0,3.0,3.5,0
0,37.0,17,0,1,297.75,8.1,33.75,130.0,10.0,3.0,1.0,0
1,35.0,129,0,0,215.55,11.4,24.43,86.0,8.0,4.0,3.5,0
1,36.0,114,0,1,309.3,11.4,35.05,83.0,6.0,4.0,1.0,0
1,36.0,91,1,0,217.5,16.7,24.65,151.0,3.0,5.0,2.0,0
0,30.0,93,0,1,328.05,9.4,37.18,85.0,5.0,3.0,2.0,0
1,32.0,101,0,1,313.8,9.5,35.56,100.0,3.0,3.0,0.0,0
1,47.0,57,1,1,354.75,12.2,40.21,117.0,3.0,4.0,2.0,0
0,31.0,126,1,1,367.35,9.7,41.63,136.0,6.0,3.0,3.5,0
1,41.0,130,0,0,190.5,6.1,21.59,99.0,6.0,2.0,0.0,0
1,43.0,83,0,1,143.85,13.3,16.3,109.0,4.0,4.0,0.0,0
1,59.5,116,0,0,325.95,11.3,36.94,76.0,3.0,4.0,2.0,0
1,42.0,87,0,0,226.5,9.7,25.67,127.0,3.0,3.0,3.5,0
1,29.0,149,0,0,234.0,8.9,26.52,104.0,8.0,3.0,0.0,0
0,35.0,117,0,0,253.2,15.5,28.7,106.0,4.0,5.0,0.0,0
0,34.0,50,0,1,379.35,8.5,42.99,146.0,4.0,3.0,3.0,0
0,53.0,74,0,0,261.15,8.3,29.6,123.0,5.0,3.0,2.0,0
1,42.0,152,1,1,356.25,14.2,40.38,80.0,3.0,4.0,3.5,0
1,52.0,96,0,1,218.7,9.9,24.79,96.0,2.0,3.0,1.0,0
0,45.0,159,0,1,276.15,16.9,31.3,101.0,3.0,5.0,0.0,0
1,29.0,162,0,1,337.35,12.1,38.23,61.0,2.0,4.0,0.0,0
0,34.0,75,0,0,221.25,16.4,25.08,68.0,3.0,5.0,2.0,0
1,49.0,118,0,0,204.15,11.3,23.14,90.0,4.0,4.0,1.0,0
0,22.0,87,0,0,219.45,5.3,24.87,66.0,9.0,2.0,1.0,0
1,41.0,37,1,1,224.55,9.2,25.45,90.0,4.0,3.0,1.0,0
1,45.0,155,0,0,305.1,8.9,34.58,119.0,4.0,3.0,0.0,0
0,26.0,75,1,0,316.95,9.7,35.92,63.0,4.0,3.0,3.5,0
1,30.0,105,0,0,421.95,8.7,47.82,109.0,3.0,3.0,0.0,0
1,30.0,155,0,0,285.45,8.0,32.35,134.0,3.0,3.0,1.0,0
1,37.0,100,0,0,324.3,10.2,36.75,127.0,3.0,3.0,0.0,0
0,39.0,77,0,0,350.7,7.6,39.75,104.0,3.0,3.0,2.0,0
1,35.0,123,0,1,405.6,15.4,45.97,113.0,7.0,5.0,1.0,0
1,31.0,5,0,0,298.8,13.3,33.86,85.0,3.0,4.0,3.0,0
0,31.0,129,0,0,279.0,11.5,31.62,63.0,6.0,4.0,3.5,0
0,45.0,186,0,1,111.45,14.5,12.63,90.0,3.0,4.0,2.0,0
0,35.0,64,0,1,436.65,7.5,49.49,67.0,2.0,3.0,1.0,0
1,30.0,139,0,0,207.15,8.3,23.48,63.0,2.0,3.0,1.0,0
1,56.0,149,0,1,271.05,12.6,30.72,53.0,3.0,4.0,3.0,0
1,42.0,19,0,0,279.15,14.6,31.64,127.0,7.0,4.0,2.0,0
1,39.0,74,0,0,205.05,9.8,23.24,114.0,4.0,3.0,0.0,0
0,44.0,89,1,1,168.9,11.1,19.14,116.0,2.0,3.0,0.0,0
0,29.0,80,0,0,240.9,10.7,27.3,88.0,1.0,3.0,1.0,0
1,29.0,95,1,1,330.3,4.1,37.43,82.0,2.0,2.0,0.0,0
1,50.0,111,0,0,295.65,9.3,33.51,101.0,10.5,3.0,0.0,0
0,35.0,87,0,0,307.2,9.5,34.82,89.0,3.0,3.0,0.0,0
0,35.0,127,0,1,214.8,11.6,24.34,77.0,1.0,4.0,1.0,0
0,34.0,98,0,1,269.85,12.8,30.58,76.0,7.0,4.0,3.0,0
1,24.0,147,1,1,329.85,8.1,37.38,111.0,4.0,3.0,3.0,0
0,50.0,34,0,0,440.55,11.0,49.93,76.0,10.0,3.0,2.0,0
1,37.0,116,0,0,241.05,8.2,27.32,144.0,5.0,3.0,0.0,0
1,59.5,86,0,0,189.45,9.8,21.47,95.0,7.0,3.0,2.0,0
0,59.5,115,1,0,270.0,12.4,30.6,70.0,3.0,4.0,1.0,0
0,33.0,55,0,0,291.15,7.0,33.0,136.0,7.0,2.0,2.0,0
1,38.0,73,0,0,297.45,14.8,33.71,87.0,8.0,4.0,3.0,0
1,38.0,114,0,0,287.25,3.000000000000001,32.56,118.0,0.0,1.5,0.0,0
0,46.0,99,0,0,220.05,8.9,24.94,98.0,1.0,3.0,3.0,0
1,29.0,131,0,1,203.85,9.4,23.1,121.0,4.0,3.0,1.0,0
1,37.0,122,0,1,380.55,9.2,43.13,123.0,5.0,3.0,3.5,0
0,30.0,138,1,1,337.8,11.7,38.28,99.0,4.0,4.0,0.0,0
1,39.0,87,0,0,173.1,13.1,19.62,69.0,5.0,4.0,2.0,0
0,19.0,121,0,1,297.6,5.8,33.73,77.0,3.0,2.0,3.0,0
1,37.0,78,0,0,112.5,9.5,12.75,83.0,6.0,3.0,3.0,0
1,49.0,110,0,0,294.15,12.9,33.34,71.0,1.0,4.0,3.0,0
1,59.5,153,0,0,290.7,8.5,32.95,108.0,3.0,3.0,1.0,0
1,39.0,134,0,0,212.55,8.8,24.09,60.0,6.0,3.0,0.0,0
0,31.0,63,0,0,317.7,10.7,36.01,99.0,9.0,3.0,3.0,0
1,42.0,125,0,1,354.15,9.1,40.14,107.0,4.0,3.0,2.0,0
1,30.0,119,0,0,285.6,10.0,32.37,111.0,1.0,3.0,2.0,0
0,30.0,132,1,1,300.45,12.9,34.05,91.0,3.0,4.0,2.0,0
0,36.0,85,0,0,353.7,12.0,40.09,99.0,3.0,4.0,0.0,0
1,30.0,29,0,0,236.1,9.3,26.76,92.0,2.0,3.0,1.0,0
1,56.0,17,0,0,242.25,8.6,27.46,106.0,5.0,3.0,1.0,0
0,35.0,149,0,1,310.05,10.9,35.14,80.0,3.0,3.0,1.0,0
1,39.0,39,0,0,240.6,9.1,27.27,106.0,5.0,3.0,2.0,0
0,40.0,95,0,0,297.6,10.1,33.73,99.0,3.0,3.0,0.0,0
0,40.0,55,0,0,430.05,6.9,48.74,122.0,5.0,2.0,2.0,0
1,29.0,146,0,0,309.45,6.1,35.07,91.0,3.0,2.0,1.0,0
1,24.0,115,0,0,149.55,14.1,16.95,99.0,4.0,4.0,2.0,0
0,38.0,138,0,1,60.46875000000003,7.9,6.857499999999998,111.0,1.0,3.0,0.0,0
0,40.0,89,0,0,319.5,9.1,36.21,126.0,1.0,3.0,1.0,0
1,33.0,99,0,0,361.65,11.6,40.99,109.0,10.0,4.0,1.0,0
0,51.0,111,0,0,219.3,8.7,24.85,116.0,3.0,3.0,3.0,0
1,39.0,53,0,1,60.46875000000003,6.5,6.857499999999998,64.0,7.0,2.0,1.0,0
1,25.0,64,0,0,337.2,9.2,38.22,110.0,2.0,3.0,1.0,0
1,54.0,102,0,0,154.65,11.2,17.53,92.0,5.0,4.0,1.0,0
1,25.0,59,0,0,241.35,5.0,27.35,97.0,5.0,2.0,3.0,0
1,39.0,72,0,1,280.05,16.5,31.74,119.0,4.0,5.0,1.0,0
